condition,class_name,original_count,target_count,achieved_count,rank,group
original,person,262465,262465,262465,0,head
original,car,43867,43867,43867,1,head
original,bird,10806,10806,10806,2,head
original,boat,10759,10759,10759,3,head
original,truck,9973,9973,9973,4,head
original,sheep,9509,9509,9509,5,head
original,motorbike,8725,8725,8725,6,head
original,cow,8147,8147,8147,7,medium
original,bicycle,7113,7113,7113,8,medium
original,horse,6587,6587,6587,9,medium
original,bus,6069,6069,6069,10,medium
original,elephant,5513,5513,5513,11,medium
original,dog,5508,5508,5508,12,medium
original,zebra,5303,5303,5303,13,tail
original,aeroplane,5135,5135,5135,14,tail
original,giraffe,5131,5131,5131,15,tail
original,cat,4768,4768,4768,16,tail
original,train,4571,4571,4571,17,tail
original,bear,1294,1294,1294,18,tail
lt10,person,262465,10432,10432,0,head
lt10,car,43867,9179,9179,1,head
lt10,bird,10806,8077,8077,2,head
lt10,boat,10759,7107,7107,3,head
lt10,truck,9973,6254,6254,4,head
lt10,sheep,9509,5503,5503,5,head
lt10,motorbike,8725,4842,4842,6,head
lt10,cow,8147,4261,4261,7,medium
lt10,bicycle,7113,3749,3749,8,medium
lt10,horse,6587,3299,3299,9,medium
lt10,bus,6069,2903,2903,10,medium
lt10,elephant,5513,2554,2554,11,medium
lt10,dog,5508,2248,2248,12,medium
lt10,zebra,5303,1978,1978,13,tail
lt10,aeroplane,5135,1740,1740,14,tail
lt10,giraffe,5131,1531,1531,15,tail
lt10,cat,4768,1347,1347,16,tail
lt10,train,4571,1186,1186,17,tail
lt10,bear,1294,1043,1043,18,tail
lt50,person,262465,15730,15730,0,head
lt50,car,43867,12658,12658,1,head
lt50,bird,10806,10185,10185,2,head
lt50,boat,10759,8195,8195,3,head
lt50,truck,9973,6595,6595,4,head
lt50,sheep,9509,5306,5306,5,head
lt50,motorbike,8725,4270,4270,6,head
lt50,cow,8147,3436,3436,7,medium
lt50,bicycle,7113,2765,2765,8,medium
lt50,horse,6587,2225,2225,9,medium
lt50,bus,6069,1790,1790,10,medium
lt50,elephant,5513,1440,1440,11,medium
lt50,dog,5508,1159,1159,12,medium
lt50,zebra,5303,933,933,13,tail
lt50,aeroplane,5135,750,750,14,tail
lt50,giraffe,5131,604,604,15,tail
lt50,cat,4768,486,486,16,tail
lt50,train,4571,391,391,17,tail
lt50,bear,1294,315,315,18,tail
lt100,person,262465,18025,18025,0,head
lt100,car,43867,13956,13956,1,head
lt100,bird,10806,10806,10806,2,head
lt100,boat,10759,8367,8367,3,head
lt100,truck,9973,6478,6478,4,head
lt100,sheep,9509,5016,5016,5,head
lt100,motorbike,8725,3883,3883,6,head
lt100,cow,8147,3007,3007,7,medium
lt100,bicycle,7113,2328,2328,8,medium
lt100,horse,6587,1802,1802,9,medium
lt100,bus,6069,1396,1396,10,medium
lt100,elephant,5513,1081,1081,11,medium
lt100,dog,5508,837,837,12,medium
lt100,zebra,5303,648,648,13,tail
lt100,aeroplane,5135,501,501,14,tail
lt100,giraffe,5131,388,388,15,tail
lt100,cat,4768,301,301,16,tail
lt100,train,4571,233,233,17,tail
lt100,bear,1294,180,180,18,tail
