point,arm,budget,previous19_map50,previous19_forgetting,known_map50,u_recall50,wi_at_08_iou50,aose_iou50,old_head_map50,old_medium_map50,old_tail_map50,old_head_forgetting,old_medium_forgetting,old_tail_forgetting,old_head_n,old_medium_n,old_tail_n,new_head_map50,new_medium_map50,new_tail_map50,new_head_n,new_medium_n,new_tail_n,images_selected,images_kept,t2_objects,revealed_unknown_objects,revealed_per_1000_queries,forgetting_per_1000_queries
budget0,anchor,0,73.6490,0.0000,34.9833,14.8107,0.009718,1047,65.1043,85.0757,87.6530,0.0000,0.0000,0.0000,11,7,1,0.0000,0.0000,0.0000,8,3,10,,,,,,
full_t2_supervision,full_t2_supervision,-1,66.3313,7.3177,50.4749,22.0514,0.030938,3380,57.1748,79.3290,76.0693,7.9295,5.7467,11.5837,11,7,1,28.4037,35.9726,42.3554,8,3,10,,,,,,
random_b600,random,600,27.2736,46.3754,12.9633,37.0902,0.037429,5143,21.6695,39.0004,6.8319,43.4348,46.0753,80.8211,11,7,1,0.0081,0.0891,0.0000,8,3,10,591,232,690,5,8.33,77.292
random_b3500,random,3500,4.8871,68.7619,2.3460,41.5934,0.036577,2385,3.1502,7.8816,3.0303,61.9541,77.1941,84.6227,11,7,1,0.1231,0.0000,0.0000,8,3,10,3305,1333,4200,36,10.29,19.646
random_b20000,random,20000,0.7974,72.8516,0.9573,38.3913,0.060233,5905,0.8264,0.8658,0.0000,64.2779,84.2099,87.6530,11,7,1,2.6261,0.0000,0.2131,8,3,10,14444,6023,19238,151,7.55,3.643
mult_prior_shrunk_b600,mult_prior_shrunk,600,46.6404,27.0086,22.1560,27.2051,0.029295,6340,42.4745,55.4899,30.5184,22.6299,29.5858,57.1346,11,7,1,0.0009,0.0191,0.0010,8,3,10,519,189,417,53,88.33,45.014
mult_prior_shrunk_b3500,mult_prior_shrunk,3500,19.4099,54.2391,9.2828,31.0155,0.041546,7625,21.8458,18.3339,0.1466,43.2585,66.7419,87.5064,11,7,1,0.0595,0.0087,0.2020,8,3,10,2961,1375,3266,372,106.29,15.497
mult_prior_shrunk_b20000,mult_prior_shrunk,20000,3.7529,69.8961,2.2987,32.0379,0.061482,1447,2.4793,6.2903,0.0000,62.6250,78.7855,87.6530,11,7,1,2.0321,0.0000,0.4385,8,3,10,9626,4594,11566,1815,90.75,3.495
objectness_prior_b600,objectness_prior,600,59.1857,14.4633,28.4199,22.0176,0.035463,8505,51.7821,69.3159,69.7136,13.3222,15.7598,17.9394,11,7,1,0.3824,0.0393,0.9091,8,3,10,585,255,535,84,140.00,24.106
objectness_prior_b3500,objectness_prior,3500,7.3339,66.3151,3.5455,41.6019,0.051137,8326,8.3636,6.7456,0.1245,56.7407,78.3301,87.5285,11,7,1,0.2253,0.0289,0.0587,8,3,10,3152,1495,3269,466,133.14,18.947
objectness_prior_b20000,objectness_prior,20000,1.6878,71.9612,1.7588,36.0426,0.076026,11545,1.5535,2.1400,0.0000,63.5508,82.9357,87.6530,11,7,1,4.0533,0.5319,0.4260,8,3,10,11656,5793,15978,1800,90.00,3.598
mult_prior_shrunk_b600_ft_noreplay,mult_prior_shrunk_ft,600,70.9574,2.6916,33.7098,24.7465,0.034721,8554,62.7357,82.0205,83.9542,2.3686,3.0552,3.6988,11,7,1,0.0004,0.0662,0.0000,8,3,10,189,189,,,,4.486
mult_prior_shrunk_b600_replay_a0,mult_prior_shrunk_replay,600,70.4505,3.1985,33.4640,27.1544,0.031646,3168,61.4736,82.4836,84.9652,3.6307,2.5921,2.6878,11,7,1,0.0000,0.0000,0.0000,8,3,10,189,189,,,,5.331
mult_prior_shrunk_b600_ft_lr2e4_e1,mult_prior_shrunk_ft_lr2e4_e1,600,60.9950,12.6540,28.9823,25.8026,0.025153,7237,53.0450,72.7192,66.3743,12.0593,12.3565,21.2787,11,7,1,0.0000,0.0073,0.0364,8,3,10,189,189,,,,21.090
mult_prior_shrunk_b600_ft_lr2e4_e5,mult_prior_shrunk_ft_lr2e4_e5,600,47.9419,25.7071,22.9417,21.3755,0.042179,5394,38.3592,61.6404,57.4620,26.7452,23.4353,30.1910,11,7,1,0.3309,0.4556,0.2757,8,3,10,189,189,,,,42.845
mult_prior_shrunk_b600_ft_lr2e5_e5,mult_prior_shrunk_ft_lr2e5_e5,600,69.4175,4.2315,32.9786,30.1200,0.041128,8062,61.4345,80.3742,80.5330,3.6698,4.7015,7.1200,11,7,1,0.0008,0.0689,0.0000,8,3,10,189,189,,,,7.052
