policy,seed,task,class,available_in_pool,images_opened,answers_spent,acquired_this_task,banked_from_earlier,held_at_declaration,held_per_image,unknown_objects
random,0,t2,traffic light,444,298,2981,64,0,64,0.2148,1899
random,0,t3,fire hydrant,82,301,2991,11,4,15,0.0498,1744
random,0,t4,stop sign,53,298,2995,11,18,29,0.0973,1904
random,1,t2,traffic light,512,339,3000,56,0,56,0.1652,1757
random,1,t3,fire hydrant,62,309,2997,16,12,28,0.0906,1921
random,1,t4,stop sign,71,309,3000,13,25,38,0.123,1872
cheapest*,0,t2,traffic light,444,926,3000,117,0,117,0.1263,2202
cheapest*,0,t3,fire hydrant,63,909,2999,40,43,83,0.0913,2221
cheapest*,0,t4,stop sign,68,892,2997,43,87,130,0.1457,2128
cheapest*,1,t2,traffic light,512,905,2995,99,0,99,0.1094,2198
cheapest*,1,t3,fire hydrant,73,907,3000,48,43,91,0.1003,2213
cheapest*,1,t4,stop sign,83,883,3000,45,71,116,0.1314,2174
stratified*,0,t2,traffic light,444,589,2998,60,0,60,0.1019,2408
stratified*,0,t3,fire hydrant,66,582,2999,37,38,75,0.1289,2361
stratified*,0,t4,stop sign,83,564,3000,37,72,109,0.1933,2377
stratified*,1,t2,traffic light,512,583,2998,60,0,60,0.1029,2378
stratified*,1,t3,fire hydrant,73,603,2992,33,32,65,0.1078,2346
stratified*,1,t4,stop sign,65,566,3000,36,89,125,0.2208,2432
stratified+cheapest*,0,t2,traffic light,444,814,2996,47,0,47,0.0577,2263
stratified+cheapest*,0,t3,fire hydrant,70,806,3000,29,37,66,0.0819,2263
stratified+cheapest*,0,t4,stop sign,60,775,2995,27,75,102,0.1316,2291
stratified+cheapest*,1,t2,traffic light,512,806,2988,47,0,47,0.0583,2260
stratified+cheapest*,1,t3,fire hydrant,50,798,3000,24,32,56,0.0702,2223
stratified+cheapest*,1,t4,stop sign,70,798,2977,36,66,102,0.1278,2277
class-greedy*,0,t2,traffic light,444,271,2998,444,0,444,1.6384,1310
class-greedy*,0,t3,fire hydrant,77,343,3000,77,16,93,0.2711,1717
class-greedy*,0,t4,stop sign,76,332,2991,76,19,95,0.2861,1798
class-greedy*,1,t2,traffic light,512,275,2996,512,0,512,1.8618,1296
class-greedy*,1,t3,fire hydrant,58,318,2992,58,20,78,0.2453,1693
class-greedy*,1,t4,stop sign,83,312,2993,83,16,99,0.3173,1740
