seed,n_clusters,mean_cluster_size,contamination_detector_estimate,contamination_verified,unknown_recall_verified,gate_open_share
0,200,400.0,0.06876320112649613,0.13828118550317842,0.7448848822307659,1.0
0,400,200.0,0.06266134710161934,0.1396846363411211,0.7804145123514075,1.0
0,800,100.0,0.03872330438864116,0.12779658218442996,0.7970008985520055,1.0
0,1600,50.0,0.027693029805210045,0.1158259720960951,0.8161650978832472,1.0
0,3200,25.0,0.015724008448720957,0.09254519937257492,0.8275369363795719,0.995825
1,200,400.0,0.07603848861769538,0.15223313795096177,0.758996567825946,1.0
1,400,200.0,0.05163107251818822,0.12226533476430282,0.7661997142310015,1.0
1,800,100.0,0.03684581084252523,0.11599108395938248,0.7875440069527303,1.0
1,1600,50.0,0.025346162872565126,0.10517625691405927,0.8110242019827065,0.9999
1,3200,25.0,0.01595869514198545,0.09403120614216132,0.8248854714451956,0.9961625
2,200,400.0,0.06313072048814833,0.13266738215140758,0.7408193026647223,1.0
2,400,200.0,0.04693733865289838,0.12003632460992322,0.7627233490948193,1.0
2,800,100.0,0.04177423140107956,0.11632130768595723,0.7866012638649521,1.0
2,1600,50.0,0.029805210044590472,0.10666226368364568,0.8090208729211779,0.99995
2,3200,25.0,0.018070875381365877,0.0941963180054487,0.8257251020077482,0.996175
