seed,scope,admissible_share,eps,min_samples,scope_size,scope_share_of_pool,clusters,noise_share_within_scope,core_border_share_within_scope,unknown_rate_coherent,unknown_rate_noise,background_rate_coherent,background_rate_noise,unknown_objects_scope,unknown_objects_kept,unknown_classes_kept,head_objects_kept,medium_objects_kept,tail_objects_kept,tail_classes_kept,tail_retained_vs_scope,tail_retained_vs_pool,known_share_coherent,known_retained_vs_scope,c1_objects_not_preferentially_deleted,c2_background_concentrated_in_noise,c3_tail_retained,c4_gate_does_something,accepted
0,full_pool,1.0,0.15,5,80000,1.0,52,0.672825,0.327175,0.008405287690074119,0.04715193400958644,0.9898372430656377,0.7286627280496414,1268,206,43,98,47,61,18,0.17231638418079095,0.17231638418079095,0.0017574692442882249,0.0037975728556096755,False,False,False,True,False
0,admissible,0.3,0.15,5,24000,0.3,6,0.744125,0.255875,0.02035499104380394,0.10302928495436475,0.9767138902458883,0.5398958508315135,772,117,39,50,28,39,15,0.156,0.11016949152542373,0.0029311187103077674,0.0028146989835809225,False,False,False,True,False
0,full_pool,1.0,0.15,20,80000,1.0,7,0.6900125,0.3099875,0.0073390056050647206,0.04666582127135378,0.9925803459816928,0.7339359794206627,1268,168,43,71,44,53,18,0.1497175141242938,0.1497175141242938,8.064841324246945e-05,0.0001651118632873772,False,False,False,True,False
0,admissible,0.3,0.15,20,24000,0.3,2,0.7497083333333333,0.2502916666666667,0.016480772432162477,0.10370699716556439,0.9831862826702181,0.5409881620630245,772,91,39,28,28,35,15,0.14,0.09887005649717515,0.000332944897619444,0.0003127443315089914,False,False,False,True,False
0,full_pool,1.0,0.25,5,80000,1.0,132,0.4346625,0.5653375,0.013376965087226656,0.06191585425473787,0.8888716916885931,0.7168780375578754,1268,559,49,289,102,168,19,0.4745762711864407,0.4745762711864407,0.09775134322418025,0.3649797737967473,False,False,False,True,False
0,admissible,0.3,0.25,5,24000,0.3,40,0.60475,0.39525,0.03795066413662239,0.11058288548987184,0.8074003795066413,0.549882871710073,772,344,40,168,55,121,15,0.484,0.3418079096045198,0.15464895635673626,0.22939796716184518,False,False,False,True,False
0,full_pool,1.0,0.25,20,80000,1.0,23,0.5654375,0.4345625,0.012598878182079679,0.05128771968608378,0.9471594994966201,0.7118602851774068,1268,419,44,211,76,132,18,0.3728813559322034,0.3728813559322034,0.04024162232130016,0.11549574836952035,False,False,False,True,False
0,admissible,0.3,0.25,20,24000,0.3,8,0.6831666666666667,0.31683333333333336,0.041425565491846394,0.10063430104903635,0.9082062072593372,0.5326909002195658,772,304,40,150,50,104,15,0.416,0.2937853107344633,0.05036822724881641,0.059890539483971855,False,False,False,True,False
0,full_pool,1.0,0.35,5,80000,1.0,65,0.105525,0.894475,0.028131026579837334,0.08824923004027482,0.8357835601889376,0.6304193319118693,1268,1146,57,588,238,320,23,0.903954802259887,0.903954802259887,0.13608541323122503,0.8039296623462395,False,False,True,True,False
0,admissible,0.3,0.35,5,24000,0.3,59,0.343,0.657,0.05517503805175038,0.13301749271137026,0.716324200913242,0.527818270165209,772,590,46,277,116,197,19,0.788,0.556497175141243,0.2285007610350076,0.563408913213448,False,False,False,True,False
0,full_pool,1.0,0.35,20,80000,1.0,6,0.197375,0.802625,0.01935835539635571,0.09594680177327422,0.8586513004204952,0.6329955668144395,1268,960,56,505,190,265,23,0.748587570621469,0.748587570621469,0.12199034418314904,0.6466606125650128,False,False,False,True,False
0,admissible,0.3,0.35,20,24000,0.3,8,0.505,0.495,0.04048821548821549,0.12244224422442244,0.7566498316498317,0.5487623762376238,772,440,42,208,79,153,16,0.612,0.4322033898305085,0.20286195286195285,0.37685691946833466,False,False,False,True,False
0,full_pool,1.0,0.45,5,80000,1.0,2,0.0068875,0.9931125,0.0344875328827298,0.032667876588021776,0.8156301526765598,0.5952813067150635,1268,1265,58,655,258,352,23,0.9943502824858758,0.9943502824858758,0.1498823144407104,0.9830760340130439,True,False,True,False,False
0,admissible,0.3,0.45,5,24000,0.3,6,0.04675,0.95325,0.08169420403881458,0.0855614973262032,0.6581431943351692,0.5196078431372549,772,766,49,363,155,248,19,0.992,0.7005649717514124,0.2601626016260163,0.9307271305707584,False,False,True,False,False
