seed,arm,rounds,budget,unknown_objects,head,medium,tail,classes,tail_classes,images_opened
0,random,1,600,19,7,3,9,17,9,501
0,random,6,600,15,6,5,4,11,4,504
0,random,12,600,24,9,5,10,15,5,507
0,entropy,1,600,32,14,6,14,13,5,295
0,entropy,6,600,32,14,6,14,13,5,295
0,entropy,12,600,32,14,6,14,13,5,295
0,objectness,1,600,155,88,24,48,22,9,548
0,objectness,6,600,155,88,24,48,22,9,548
0,objectness,12,600,155,88,24,48,22,9,548
0,plan,1,600,19,7,4,9,14,7,339
0,plan,6,600,19,7,4,9,14,7,339
0,plan,12,600,19,7,4,9,14,7,339
0,consult,1,600,25,12,2,12,14,7,367
0,consult,6,600,34,16,3,17,18,9,367
0,consult,12,600,33,16,4,15,18,8,364
0,consult_batch,1,600,38,13,7,19,21,11,373
0,consult_batch,6,600,41,15,9,19,21,11,375
0,consult_batch,12,600,41,16,5,22,21,11,379
0,consult_no_gate,1,600,25,12,2,12,14,7,367
0,consult_no_gate,6,600,34,16,3,17,18,9,367
0,consult_no_gate,12,600,33,16,4,15,18,8,364
0,consult_shared_cluster,1,600,32,10,6,19,18,10,364
0,consult_shared_cluster,6,600,32,10,6,19,18,10,364
0,consult_shared_cluster,12,600,32,10,6,19,18,10,364
0,prior_consult,1,600,100,53,27,47,21,8,350
0,prior_consult,6,600,101,54,27,47,23,9,348
0,prior_consult,12,600,101,54,27,47,23,9,348
0,prior_consult_batch,1,600,91,43,29,54,23,11,334
0,prior_consult_batch,6,600,82,40,27,58,20,10,306
0,prior_consult_batch,12,600,78,37,27,56,22,10,309
1,random,1,600,20,7,7,6,11,5,499
1,random,6,600,15,5,6,4,10,3,512
1,random,12,600,16,8,6,3,11,3,510
1,entropy,1,600,32,14,6,14,13,5,295
1,entropy,6,600,32,14,6,14,13,5,295
1,entropy,12,600,32,14,6,14,13,5,295
1,objectness,1,600,155,88,24,48,22,9,548
1,objectness,6,600,155,88,24,48,22,9,548
1,objectness,12,600,155,88,24,48,22,9,548
1,plan,1,600,24,11,3,14,17,9,323
1,plan,6,600,24,11,3,14,17,9,323
1,plan,12,600,24,11,3,14,17,9,323
1,consult,1,600,30,11,3,18,16,9,360
1,consult,6,600,32,11,4,18,15,8,356
1,consult,12,600,36,13,4,20,18,10,351
1,consult_batch,1,600,31,10,4,20,15,10,380
1,consult_batch,6,600,30,9,5,16,15,8,367
1,consult_batch,12,600,34,10,4,21,16,9,365
1,consult_no_gate,1,600,30,11,3,18,16,9,360
1,consult_no_gate,6,600,32,11,4,18,15,8,356
1,consult_no_gate,12,600,36,13,4,20,18,10,351
1,consult_shared_cluster,1,600,34,15,4,20,19,9,339
1,consult_shared_cluster,6,600,34,15,4,20,19,9,339
1,consult_shared_cluster,12,600,34,15,4,20,19,9,339
1,prior_consult,1,600,75,50,28,48,21,9,320
1,prior_consult,6,600,76,50,27,50,21,9,315
1,prior_consult,12,600,76,50,27,50,21,9,315
1,prior_consult_batch,1,600,81,50,32,50,20,9,322
1,prior_consult_batch,6,600,73,44,27,64,19,10,296
1,prior_consult_batch,12,600,73,47,27,57,22,10,295
2,random,1,600,34,18,6,11,17,7,504
2,random,6,600,21,12,4,5,14,4,497
2,random,12,600,22,14,5,3,13,3,501
2,entropy,1,600,32,14,6,14,13,5,295
2,entropy,6,600,32,14,6,14,13,5,295
2,entropy,12,600,32,14,6,14,13,5,295
2,objectness,1,600,155,88,24,48,22,9,548
2,objectness,6,600,155,88,24,48,22,9,548
2,objectness,12,600,155,88,24,48,22,9,548
2,plan,1,600,20,7,3,10,16,8,356
2,plan,6,600,20,7,3,10,16,8,356
2,plan,12,600,20,7,3,10,16,8,356
2,consult,1,600,37,14,5,20,20,9,395
2,consult,6,600,40,17,7,20,23,11,382
2,consult,12,600,39,16,8,21,22,11,392
2,consult_batch,1,600,37,15,7,20,21,11,392
2,consult_batch,6,600,40,13,7,24,22,11,365
2,consult_batch,12,600,40,15,7,23,22,11,381
2,consult_no_gate,1,600,37,14,5,20,20,9,395
2,consult_no_gate,6,600,40,17,7,20,23,11,382
2,consult_no_gate,12,600,39,16,8,21,22,11,392
2,consult_shared_cluster,1,600,42,16,7,23,22,11,383
2,consult_shared_cluster,6,600,42,16,7,23,22,11,383
2,consult_shared_cluster,12,600,42,16,7,23,22,11,383
2,prior_consult,1,600,91,49,34,51,22,9,388
2,prior_consult,6,600,89,48,35,51,22,9,384
2,prior_consult,12,600,89,48,35,51,22,9,383
2,prior_consult_batch,1,600,90,45,33,55,21,8,380
2,prior_consult_batch,6,600,73,43,25,61,20,9,323
2,prior_consult_batch,12,600,72,42,25,61,21,10,319
