arm,seed,note,asked,images_opened,unknown_objects,unknown_proposals,proposals_per_object,unknown_classes,head_objects,medium_objects,tail_objects,head_proposals,medium_proposals,tail_proposals,head_classes,medium_classes,tail_classes,tail_share_objects,tail_objects_per_region,tail_objects_per_image,selected_background,selected_known,selected_unknown
A(x) [CONTROL],0,,600,548,155,160,1.0323,22,86,22,47,88,24,48,8,5,9,0.3032,0.078333,0.085766,316,124,160
A(x) + NMS iou=0.3,0,kept 46863,600,600,168,168,1.0,22,93,22,53,93,22,53,8,5,9,0.3155,0.088333,0.088333,342,90,168
A(x) + NMS iou=0.5,0,kept 59553,600,600,168,168,1.0,22,93,22,53,93,22,53,8,5,9,0.3155,0.088333,0.088333,342,90,168
A(x) + NMS iou=0.6,0,kept 63997,600,600,168,168,1.0,22,93,22,53,93,22,53,8,5,9,0.3155,0.088333,0.088333,342,90,168
A(x) + NMS iou=0.7,0,kept 68561,600,600,168,168,1.0,22,93,22,53,93,22,53,8,5,9,0.3155,0.088333,0.088333,342,90,168
A(x) + NMS iou=0.9,0,kept 77891,600,580,163,165,1.0123,22,91,22,50,92,22,51,8,5,9,0.3067,0.083333,0.086207,331,104,165
A(x)+NMS - drop 10% known-like [prototype],0,,600,600,168,168,1.0,23,92,22,54,92,22,54,8,5,10,0.3214,0.09,0.09,349,83,168
A(x)+NMS - drop 20% known-like [prototype],0,,600,600,169,169,1.0,24,94,21,54,94,21,54,9,5,10,0.3195,0.09,0.09,345,86,169
A(x)+NMS - drop 25% known-like [prototype],0,,600,600,171,171,1.0,23,94,20,57,94,20,57,9,5,9,0.3333,0.095,0.095,343,86,171
A(x)+NMS - drop 30% known-like [prototype],0,,600,600,163,163,1.0,25,94,18,51,94,18,51,10,5,10,0.3129,0.085,0.085,347,90,163
A(x)+NMS - drop 40% known-like [prototype],0,,600,600,153,153,1.0,21,84,18,51,84,18,51,8,4,9,0.3333,0.085,0.085,363,84,153
A(x)+NMS - drop 50% known-like [prototype],0,,600,580,142,143,1.007,21,85,15,42,85,15,43,10,4,7,0.2958,0.07,0.072414,360,97,143
